ምግቡ በጣም ጣፋጭ ነበር እና ዋጋው ተመጣጣኝ ነው ።	1,2 FOOD#QUALITY 2 2,3	-1,-1 FOOD#PRICE 2 5,6
አገልግሎቱ በጣም 느린 ነበር ፣ ሰራተኞቹ ደግሞ ጨዋ አልነበሩም ።	0,1 SERVICE#GENERAL 0 2,3	4,5 STAFF#QUALITY 0 7,8
ቦታው ጥሩ ሆኖ ቢሆንም ምግቡ ቀዝቃዛ ሆኖ መጣ ።	0,1 AMBIENCE#GENERAL 2 1,2	3,4 FOOD#QUALITY 0 4,5
ሻይና ቡና ጣፋጭ ናቸው ፣ ግን ዋጋቸው ትንሽ ውድ ነው ።	0,2 DRINKS#QUALITY 2 2,3	0,2 DRINKS#PRICE 0 6,8
ሬስቶራንቱ ምቹ ሆኖ ሰፊ ነው ፣ ምናሌውም ብዙ አማራጭ አለው ።	0,1 RESTAURANT#GENERAL 2 1,2	0,1 RESTAURANT#GENERAL 2 3,4	-1,-1 FOOD#STYLE_OPTIONS 2 8,9
ሰራተኞቹ ፈጣን እና ደፋር ናቸው ።	0,1 STAFF#GENERAL 2 1,2	0,1 STAFF#QUALITY 2 3,4
ምግቡ ብዙ ጊዜ ይቆያል ፣ ምክንያቱም ሱቁ ሁሌ ሞልቶ ነው ።	0,1 SERVICE#GENERAL 0 2,4	3,4 SHOP#GENERAL 1 6,7
ቦታው ለመድረስ ቀላል ነው እና ፓርኪንግ አለ ።	0,1 LOCATION#ACCESSIBILITY 2 2,3	-1,-1 LOCATION#GENERAL 2 5,6
ምርቱ ጥራቱ ከፍ ያለ ነው ፣ ዋጋውም ምክንያታዊ ነው ።	0,1 PRODUCT#QUALITY 2 2,4	0,1 PRODUCT#PRICE 2 5,6
ምርቱ ቶሎ ደረሰ ፣ ሆኖም ጥቅጥቅ ያለ ሳጥን ውስጥ አልነበረም ።	0,1 DELIVERY#QUALITY 2 2,3	0,1 DELIVERY#GENERAL 0 4,9
ሬስቶራንቱ ውስጥ ያለው ሙዚቃ ድምፁ በጣም ጮክ ያለ ነው ።	4,5 AMBIENCE#DESIGN_FEATURES 0 6,8
ዋጋው ለምግቡ ጥራት ተመጣጣኝ አይደለም ።	0,1 VALUE#GENERAL 0 3,4
አሸካሚዎቹ ጥሩ ስሜት ሰጡ ፣ ቦታውም ንጹሕ ነበር ።	0,1 STAFF#GENERAL 2 1,3	3,4 AMBIENCE#GENERAL 2 4,5
ምናሌው ቋሚ ሆኖ ብዙ ሰላጣ አለ ፣ ሆኖም ለቬጀቴሪያን ምርጫ ውሱን ነው ።	0,1 FOOD#STYLE_OPTIONS 1 1,2	0,1 FOOD#STYLE_OPTIONS 0 8,9
ምግቡ ሙቅ እና ትኩስ ሆኖ አቀረቡ ።	0,1 FOOD#QUALITY 2 1,2	0,1 FOOD#QUALITY 2 3,4
ሱቁ ብዙ አይነት ዕቃ አለው ፣ ዋጋውም ምቹ ነው ።	0,1 SHOP#STYLE_OPTIONS 2 2,4	0,1 SHOP#PRICES 2 5,6
ልቦለዱ ጥሩ ነው ፣ ሆኖም ለኔ ትንሽ ትልቅ ነው ።	0,1 PRODUCT#QUALITY 2 1,2	0,1 PRODUCT#DESIGN_FEATURES 0 5,6
ማስረከቢያ ሰዓቱ ዘግይቷል ፣ ምክንያቱ ግን ግልጽ አልሆነም ።	0,2 DELIVERY#QUALITY 0 2,3	-1,-1 SERVICE#GENERAL 0 -1,-1
ሰራተኞቹ ጥያቄ ሲጠይቁ ምላሹ ቀርፋፋ ነበር ።	0,1 STAFF#QUALITY 0 3,4
ቡናው ሞቅ ያለ ፣ ጠንካራ ፣ እና ጣፋጭ ነበር ።	0,1 DRINKS#QUALITY 2 1,2	0,1 DRINKS#QUALITY 2 3,4	0,1 DRINKS#QUALITY 2 6,7
